Resolution,Subsamples,Blobiness,M0,M1,M2
600,25,2,0.5286111111111111,1023.636651713959,10
600,36,2,0.4627,812.6589462905454,1
600,36,2,0.8037,638.8183258569795,7
600,36,2,0.5693,623.4396462005392,5
600,36,2,0.4719,680.5756851698603,1
600,36,2,0.4836,735.1970055134199,2
600,36,2,0.8022,632.9188309203679,8
600,36,2,0.6934,846.2274887854693,8
600,36,2,0.6523,677.008188695463,5
600,36,2,0.6124,642.3746750430835,4
600,36,2,0.4971,609.9665581351204,4
600,36,2,0.6057,670.9665581351203,6
600,36,2,0.4682,660.3746750430836,4
600,36,2,0.5497,761.7422074112307,4
600,36,2,0.7684,643.0609665440988,8
600,36,2,0.7198,624.9543648263005,6
600,36,2,0.4169,638.5584412271571,2
600,36,2,0.4217,596.9371208835976,3
600,36,2,0.3711,673.0904037956217,1
600,36,2,0.7961,672.8538597629123,6
600,36,2,0.3949,554.5756851698602,1
600,36,2,0.3795,649.8244225113895,4
600,36,2,0.54,766.3868683519033,4
600,36,2,0.4443,743.6650429449553,2
600,36,2,0.427,763.6061684419096,2
600,36,2,0.5619,743.445742854949,4
600,36,2,0.7508,697.3685783886737,5
600,36,2,0.4617,715.5939751330899,4
600,36,2,0.5992,550.7472580451141,3
600,36,2,0.5839,709.9604614807104,4
600,36,2,0.4508,733.3158005400378,4
600,36,2,0.4259,765.2569260369921,1
600,36,2,0.5968,735.144227664784,5
600,36,2,0.7375,701.8538597629122,4
600,36,2,0.4554,664.3391411371508,3
600,36,2,0.4043,701.6295090390227,3
600,36,2,0.4985,749.7005768508881,6
600,64,2,0.3575111111111111,440.6223663640862,1
600,64,2,0.6243555555555556,488.1848122046001,5
600,64,2,0.6741333333333334,379.0660171779821,2
600,64,2,0.5875555555555556,393.1370849898476,4
600,64,2,0.3943111111111111,392.40916292848976,1
600,64,2,0.4108444444444444,366.40916292848976,2
600,64,2,0.6136888888888888,446.8944443027284,2
600,64,2,0.8709333333333333,389.1309883354377,5
600,64,2,0.6375111111111111,461.49852070358486,6
600,64,2,0.632,402.8711037056154,5
600,64,2,0.6330666666666667,474.6639969244288,4
600,64,2,0.7328,411.7584053334072,4
600,64,2,0.5393777777777777,357.1015510839149,2
600,64,2,0.7303111111111111,499.9421715174808,6
600,64,2,0.6323555555555556,493.32085117392126,5
600,64,2,0.4718222222222222,341.9594154601839,5
600,64,2,0.7518222222222222,480.1076477383248,4
600,64,2,0.7034666666666667,448.0426765808692,4
600,64,2,0.8012444444444444,410.9949493661167,6
600,64,2,0.6823111111111111,402.4030662740799,3
600,64,2,0.2944,410.6639969244288,1
600,64,2,0.4435555555555555,366.5929291125633,3
600,64,2,0.5226666666666666,381.9655121145938,3
600,64,2,0.3838222222222222,393.072113832392,2
600,64,2,0.5132444444444444,531.3624817342638,3
600,64,2,0.7978666666666666,418.4152595828997,6
600,64,2,0.5400888888888888,456.5218613006978,3
600,64,2,0.6984888888888889,417.8650070512055,4
600,64,2,0.4769777777777778,451.2203461105328,4
600,64,2,0.4368,389.4446968344225,2
600,64,2,0.3717333333333333,360.4863273947651,3
600,64,2,0.4746666666666667,397.2375900532359,3
600,64,2,0.7235555555555555,498.492424049175,4
600,64,2,0.5379555555555555,409.651803615609,4
600,64,2,0.2151111111111111,281.9655121145938,-1
600,64,2,0.4060444444444444,465.38582233137686,4
600,64,2,0.5902222222222222,509.6345596729059,4
600,64,2,0.4259555555555555,461.5929291125633,1
600,64,2,0.3923555555555555,357.1787155501902,0
600,64,2,0.4922666666666667,494.2325394193526,2
600,64,2,0.6631111111111111,358.91778489984137,1
600,64,2,0.8396444444444444,395.2670273047588,4
600,64,2,0.6209777777777777,352.5868324581534,5
600,64,2,0.6332444444444445,406.3919189857867,6
600,64,2,0.3699555555555555,302.1370849898476,1
600,64,2,0.6935111111111111,485.4213562373095,4
600,64,2,0.7180444444444445,360.5868324581534,3
600,64,2,0.3877333333333333,454.7350647362943,3
600,64,2,0.4622222222222222,466.7350647362943,3
600,64,2,0.8,474.59292911256335,7
600,64,2,0.5696,427.1726188957804,2
600,64,2,0.4017777777777778,449.2081528017131,2
600,64,2,0.6618666666666667,414.62846301849606,4
600,64,2,0.4903111111111111,410.208152801713,2
600,64,2,0.4266666666666667,408.2436867076458,4
600,64,2,0.3598222222222222,400.4213562373095,3
600,64,2,0.4030222222222222,445.7289680818844,2
600,64,2,0.3996444444444444,445.7056274847714,2
600,64,2,0.7192888888888889,439.2731239591687,3
600,64,2,0.6805333333333333,483.3502884254441,2
600,64,2,0.5175111111111111,378.34419177103416,3
600,64,2,0.2759111111111111,261.37972567696687,0
600,64,2,0.4536888888888888,390.9066376115481,5
600,64,2,0.5724444444444444,429.32085117392114,5
600,100,2,0.4113888888888889,307.78174593052023,0
600,100,2,0.4577777777777778,296.54520189781084,2
600,100,2,0.7602777777777778,311.3319984622144,2
600,100,2,0.5030555555555556,281.4680374315355,0
600,100,2,0.6994444444444444,238.4680374315355,4
600,100,2,0.4427777777777777,287.16042558696057,1
600,100,2,0.5588888888888889,264.88225099390854,2
600,100,2,0.3608333333333333,252.91168824543144,1
600,100,2,0.8030555555555555,313.2903679018718,1
600,100,2,0.8483333333333334,334.7106781186548,3
600,100,2,0.5275,368.2375900532359,2
600,100,2,0.6866666666666666,355.5096679918781,4
600,100,2,0.8272222222222222,318.16042558696057,4
600,100,2,0.5111111111111111,293.2670273047588,2
600,100,2,0.6669444444444445,267.78174593052023,4
600,100,2,0.3877777777777778,214.43250352560275,2
600,100,2,0.6241666666666666,323.6162697096763,5
600,100,2,0.6305555555555555,299.1604255869606,2
600,100,2,0.5858333333333333,414.5218613006979,3
600,100,2,0.7097222222222223,278.5685424949238,4
600,100,2,0.8277777777777777,345.3380951166243,4
600,100,2,0.5419444444444445,323.13708498984766,4
600,100,2,0.6455555555555555,331.8528137423857,2
600,100,2,0.7261111111111112,339.58073580374355,4
600,100,2,0.5644444444444444,277.19595949289334,1
600,100,2,0.4230555555555556,294.8883476483185,2
600,100,2,0.7069444444444445,265.2670273047588,3
600,100,2,0.6019444444444444,362.7523086789974,5
600,100,2,0.8,263.6396103067893,4
600,100,2,0.1911111111111111,192.7756492761104,2
600,100,2,0.6908333333333333,394.2731239591687,3
600,100,2,0.6888888888888889,349.4325035256028,3
600,100,2,0.7944444444444444,410.40916292848976,3
600,100,2,0.8797222222222222,271.4974746830584,3
600,100,2,0.6227777777777778,264.6396103067893,3
600,100,2,0.2797222222222222,288.3380951166243,0
600,100,2,0.1697222222222222,153.6335136523794,1
600,100,2,0.4019444444444444,285.03048327204937,1
600,100,2,0.3308333333333333,200.1543289325507,1
600,100,2,0.44,305.095454429505,2
600,100,2,0.3930555555555555,299.2375900532359,2
600,100,2,0.7533333333333333,360.7167747730646,3
600,100,2,0.6541666666666667,281.67514421272205,1
600,100,2,0.5897222222222223,299.5746391493337,3
600,100,2,0.775,243.675144212722,4
600,100,2,0.4927777777777777,293.82337649086287,3
600,100,2,0.4722222222222222,243.4386001800126,1
600,100,2,0.5341666666666667,248.2670273047588,3
600,100,2,0.3236111111111111,231.095454429505,2
600,100,2,0.4866666666666667,237.9472221513641,2
600,100,2,0.6344444444444445,334.6162697096763,3
600,100,2,0.6583333333333333,333.78174593052023,4
600,100,2,0.4144444444444444,227.53910524340097,2
600,100,2,0.1783333333333333,202.5035713374682,0
600,100,2,0.4111111111111111,332.33809511662423,3
600,100,2,0.6038888888888889,397.0365799264593,4
600,100,2,0.6094444444444445,251.29646455628165,1
600,100,2,0.4430555555555555,302.16652224137044,2
600,100,2,0.4244444444444444,239.9238815542512,2
600,100,2,0.5997222222222223,357.3147545195113,3
600,100,2,0.9258333333333332,253.0121933088197,2
600,100,2,0.8355555555555556,315.74011537017765,2
600,100,2,0.5766666666666667,285.8822509939086,2
600,100,2,0.2844444444444444,234.0538238691624,2
600,100,2,0.7194444444444444,303.9238815542512,5
600,100,2,0.2577777777777778,216.1604255869606,0
600,100,2,0.5844444444444444,280.4030662740799,3
600,100,2,0.475,299.5096679918781,1
600,100,2,0.4580555555555555,225.0538238691624,0
600,100,2,0.4091666666666667,311.41525958289964,2
600,100,2,0.32,262.9533188057741,2
600,100,2,0.7486111111111111,240.0538238691624,4
600,100,2,0.7422222222222222,284.61017305526644,3
600,100,2,0.4347222222222222,237.88834764831844,2
600,100,2,0.3908333333333333,241.46803743153544,2
600,100,2,0.6188888888888889,255.63961030678928,3
600,100,2,0.6141666666666666,338.16652224137044,2
600,100,2,0.5763888888888888,298.05992052357226,3
600,100,2,0.7108333333333333,312.5452018978108,3
600,100,2,0.2216666666666666,193.0893577750951,1
600,100,2,0.5425,304.6518036156091,3
600,100,2,0.5622222222222222,349.5512985522207,5
600,100,2,0.8041666666666667,265.7401153701776,3
600,100,2,0.7161111111111111,317.3675323681471,3
