Resolution,Subsamples,Blobiness,M0,M1,M2
600,64,2,0.4750222222222222,531.8538597629123,3
600,64,2,0.5308444444444445,617.9371208835975,8
600,64,2,0.6215111111111111,559.8122292025696,3
600,64,2,0.7532444444444445,494.6639969244288,7
600,64,2,0.5857777777777777,440.7411613907042,5
600,64,2,0.5731555555555555,540.6589462905455,7
600,64,2,0.4371555555555556,471.1259377015545,3
600,64,2,0.6298666666666667,572.9898987322333,5
600,64,2,0.6490666666666667,552.1970055134199,7
600,64,2,0.4371555555555556,557.3097038856279,4
600,64,2,0.5080888888888889,604.7888886054567,3
600,64,2,0.7267555555555556,568.8893936688451,10
600,64,2,0.5893333333333334,578.9543648263007,5
600,64,2,0.4552888888888889,642.1381310103742,3
600,64,2,0.6042666666666666,497.0487732352791,6
600,64,2,0.4759111111111111,456.4507934888324,3
600,64,2,0.4759111111111111,562.8122292025695,4
600,64,2,0.4405333333333333,546.5462479183374,5
600,64,2,0.4727111111111111,647.3807716974934,3
600,64,2,0.4577777777777778,602.7239174480011,2
600,64,2,0.6458666666666667,584.9898987322333,8
600,64,2,0.6410666666666667,596.5401512639276,5
600,64,2,0.5264,552.9543648263007,6
600,64,2,0.3825777777777778,479.5462479183374,1
600,64,2,0.4529777777777777,498.64675298172574,4
600,64,2,0.5729777777777778,557.5107140124046,7
600,100,2,0.4733333333333333,391.3502884254441,3
600,100,2,0.4752777777777778,340.34419177103416,2
600,100,2,0.7219444444444445,378.5868324581535,6
600,100,2,0.5655555555555556,414.1787155501902,4
600,100,2,0.6355555555555555,354.86500705120545,7
600,100,2,0.4625,380.2375900532359,1
600,100,2,0.5855555555555556,341.40916292848976,3
600,100,2,0.4519444444444444,367.6223663640862,3
600,100,2,0.7561111111111111,405.959415460184,4
600,100,2,0.7613888888888889,398.8944443027283,4
600,100,2,0.5172222222222222,452.0132393293463,4
600,100,2,0.6458333333333334,429.2853172679885,6
600,100,2,0.7238888888888889,431.356385079854,5
600,100,2,0.5202777777777777,381.24368670764585,4
600,100,2,0.6336111111111111,328.3147545195113,4
600,100,2,0.4327777777777777,295.34419177103416,2
600,100,2,0.6019444444444444,387.7228714274745,3
600,100,2,0.6402777777777777,349.1370849898476,3
600,100,2,0.5802777777777778,511.8061325481598,5
600,100,2,0.6541666666666667,365.6162697096763,5
600,100,2,0.7452777777777778,404.2081528017131,6
600,100,2,0.5347222222222222,381.5218613006979,5
600,100,2,0.6341666666666667,390.3086578651014,3
600,100,2,0.6702777777777778,422.2142494561229,7
600,100,2,0.5461111111111111,369.92997820866105,3
600,100,2,0.4386111111111111,413.9360748630709,4
600,100,2,0.6813888888888889,356.40916292848976,5
600,100,2,0.5705555555555556,418.1726188957804,4
600,100,2,0.7363888888888889,386.0010460205265,6
600,100,2,0.3658333333333333,405.628463018496,1
600,100,2,0.65,439.7289680818844,3
600,100,2,0.6002777777777778,412.8650070512055,3
600,100,2,0.6644444444444444,457.3858223313768,3
600,100,2,0.8041666666666667,404.3086578651014,6
600,100,2,0.6252777777777778,292.23149339882605,3
600,100,2,0.3413888888888889,314.3086578651014,2
600,100,2,0.2594444444444444,307.13098833543773,-1
600,100,2,0.3969444444444444,364.072113832392,0
600,100,2,0.4019444444444444,341.5512985522207,1
600,100,2,0.4886111111111111,332.3025612106915,2
600,100,2,0.4208333333333333,376.5279579551077,3
600,100,2,0.6844444444444444,426.00714267493646,4
600,100,2,0.6202777777777778,367.6873375215418,4
600,100,2,0.6258333333333334,380.2436867076458,6
600,100,2,0.6811111111111111,301.0304832720494,5
600,100,2,0.5136111111111111,341.3797256769669,4
600,100,2,0.5111111111111111,383.912734265958,2
600,100,2,0.5219444444444444,306.9655121145938,4
600,100,2,0.3755555555555555,332.86500705120545,4
600,100,2,0.5119444444444444,360.7228714274745,4
600,100,2,0.6491666666666667,365.4863273947651,5
600,100,2,0.6280555555555556,436.80003589374985,4
600,100,2,0.46,366.7289680818844,4
600,100,2,0.3172222222222222,298.97160876900364,1
600,100,2,0.3952777777777778,403.31475451951127,1
600,100,2,0.6016666666666667,439.3208511739212,5
600,100,2,0.5930555555555556,337.0304832720494,4
600,100,2,0.4955555555555556,367.2792206135785,5
600,100,2,0.4955555555555556,353.4213562373095,3
600,100,2,0.6077777777777778,412.3919189857867,8
600,100,2,0.845,361.4802307403552,6
600,100,2,0.755,446.2081528017131,3
600,100,2,0.5838888888888889,313.29646455628165,3
600,100,2,0.3061111111111111,291.2020561473032,1
600,100,2,0.6738888888888889,404.9360748630709,5
600,100,2,0.35,307.2436867076458,1
600,100,2,0.5608333333333333,359.7645019878171,3
600,100,2,0.505,392.3858223313768,2
600,100,2,0.4908333333333333,389.6223663640862,3
600,100,2,0.4355555555555555,387.87720036002526,2
600,100,2,0.3986111111111111,360.9716087690037,1
600,100,2,0.6927777777777778,381.9066376115481,6
600,100,2,0.6763888888888889,379.1431816442574,5
600,100,2,0.4711111111111111,388.93607486307087,2
600,100,2,0.4275,369.2497833620557,3
600,100,2,0.5880555555555556,375.072113832392,5
600,100,2,0.5538888888888889,363.40916292848976,2
600,100,2,0.5147222222222222,358.4802307403552,3
600,100,2,0.6958333333333333,374.7645019878171,7
600,100,2,0.3269444444444444,270.1665222413705,2
600,100,2,0.5466666666666666,420.8355697996826,3
600,100,2,0.5613888888888889,432.4274528917194,4
600,100,2,0.7491666666666666,327.16652224137044,6
600,100,2,0.655,419.32085117392114,4
600,100,2,0.5019444444444444,422.07821048680194,1
600,100,2,0.6044444444444445,408.4507934888324,3
600,100,2,0.5461111111111111,342.3025612106916,4
600,100,2,0.3291666666666666,291.7878425849301,1
600,100,2,0.5036111111111111,370.7289680818844,5
600,100,2,0.5469444444444445,375.3563850798539,7
600,100,2,0.4636111111111111,422.492424049175,3
600,100,2,0.4633333333333333,330.72896808188443,1
600,100,2,0.5297222222222222,417.2081528017131,3
600,100,2,0.7008333333333333,450.8294731452728,6
600,100,2,0.6341666666666667,418.5868324581534,3
600,100,2,0.5797222222222222,388.24368670764585,6
600,100,2,0.4036111111111111,281.45079348883235,3
600,100,2,0.2716666666666666,272.2081528017131,1
600,100,2,0.4936111111111111,423.8711037056154,3
600,100,2,0.6352777777777778,377.8650070512055,6
700,4,2,0.5748,8469.092347159894,34
700,4,2,0.554669387755102,8337.630406382768,31
700,4,2,0.5328408163265306,9148.877231151992,29
700,4,2,0.5416816326530612,8337.908580975822,41
700,16,2,0.5853061224489796,2321.4875528840407,12
700,16,2,0.6065632653061225,2196.617495198952,16
700,16,2,0.5348571428571428,2274.049998724556,10
700,16,2,0.6125714285714285,2119.723050896224,16
700,16,2,0.5608163265306122,2357.487552884041,8
700,16,2,0.5465142857142857,2317.895669792004,12
700,16,2,0.5821061224489796,2313.251008851332,16
700,16,2,0.4891428571428571,2294.5586206959065,5
700,16,2,0.5419102040816327,2439.618541219478,15
700,16,2,0.5234285714285715,2413.642927837118,8
700,16,2,0.5853061224489796,2371.12106653642,19
700,16,2,0.5395265306122449,2307.292639411674,14
700,16,2,0.6046040816326531,2355.8906191581204,17
700,16,2,0.4614204081632653,2367.233764908628,4
700,16,2,0.5187591836734694,2235.611398544542,16
700,16,2,0.5231346938775511,2183.906817080297,8
700,25,2,0.5935714285714285,1491.9696961966995,8
700,25,2,0.5745408163265306,1579.5971131946694,9
700,25,2,0.5641836734693878,1526.8569978244916,6
700,25,2,0.5311734693877551,1501.0174234114525,8
700,25,2,0.6867857142857143,1433.3950570473664,13
700,25,2,0.599030612244898,1483.206240229409,10
700,25,2,0.5867346938775511,1539.1118318204308,10
700,25,2,0.5871428571428572,1410.96359954229,12
700,25,2,0.5488775510204081,1546.2895013500945,5
700,25,2,0.4730102040816326,1425.7270555095806,2
700,25,2,0.5257142857142857,1622.4438302826452,7
700,25,2,0.6008673469387755,1614.8519471906086,14
700,25,2,0.4932142857142857,1429.999133448223,7
700,25,2,0.6396428571428572,1570.7392488184005,16
700,25,2,0.4548979591836735,1427.3422791987305,7
700,25,2,0.548469387755102,1745.035713374682,8
700,25,2,0.4819387755102041,1509.9818895055198,4
700,25,2,0.5532142857142858,1680.9646455628165,8
700,25,2,0.5508673469387755,1545.7037149124676,12
700,25,2,0.5636224489795918,1528.668181006535,10
700,25,2,0.6164285714285714,1594.2722574073914,14
700,25,2,0.4552551020408163,1634.1595590351835,4
700,25,2,0.513061224489796,1557.9047250392446,9
700,25,2,0.4806632653061224,1422.2945519839775,10
700,25,2,0.5520408163265306,1442.401153701776,8
700,49,2,0.5822,792.3990616607231,4
700,49,2,0.5953,882.6711395993652,5
700,49,2,0.6824,776.6000717874998,7
700,49,2,0.4583,758.1858582251267,1
700,49,2,0.5697,875.6538956566623,6
700,49,2,0.5718,863.7838379715732,8
700,49,2,0.6925,853.2213921310594,7
700,49,2,0.6111,849.2274887854693,7
700,49,2,0.5762,909.7544007200504,7
700,49,2,0.5761,749.3218971944477,11
700,49,2,0.5868,909.8254685319158,9
700,49,2,0.605,881.9493141924172,7
700,49,2,0.4961,772.3868683519032,4
700,49,2,0.6148,727.866053071732,6
700,49,2,0.5902,796.4995667241114,3
700,49,2,0.5161,811.4701294725885,6
700,49,2,0.5124,810.9909447527599,4
700,49,2,0.7059,735.1858582251267,9
700,49,2,0.5581,906.2691193458118,7
700,49,2,0.5194,825.2924599429248,1
700,49,2,0.4127,862.9259735953042,0
700,49,2,0.4998,808.9615075012371,4
700,49,2,0.6277,909.5117600329312,11
700,49,2,0.5767,802.3990616607231,5
700,49,2,0.5227,717.3635277547904,7
700,49,2,0.5916,723.9787514439402,6
700,49,2,0.4754,869.2691193458119,5
700,49,2,0.5652,799.8132752230962,8
700,49,2,0.6027,885.3879143724299,7
700,49,2,0.4881,879.4112549695428,8
700,49,2,0.4996,910.76659402887,5
700,49,2,0.4601,936.666088965482,4
700,49,2,0.4695,825.8904396893715,4
700,49,2,0.6281,817.98484809835,10
700,49,2,0.5262,902.9259735953044,4
700,49,2,0.55,873.1625176280136,7
700,49,2,0.5,892.5178566873411,5
700,49,2,0.5404,817.3046532517445,4
700,49,2,0.6204,878.5472939388638,7
700,49,2,0.6222,848.6477990022522,10
700,49,2,0.5922,949.7604973744604,9
700,49,2,0.4903,807.9432175380074,4
700,49,2,0.6112,860.3757210636102,9
700,49,2,0.5606,828.091449816148,6
700,49,2,0.3923,824.8610024378486,2
700,49,2,0.4612,760.3574311003805,4
700,49,2,0.452,733.0792565073283,5
700,49,2,0.4952,717.8366158202091,4
700,49,2,0.5444,770.5584412271571,3
700,100,2,0.5012244897959184,481.3919189857867,0
700,100,2,0.7604081632653061,449.75840533340727,5
700,100,2,0.4506122448979592,458.5279579551077,2
700,100,2,0.6506122448979592,461.1076477383247,4
700,100,2,0.6459183673469387,423.65790027001896,2
700,100,2,0.3812244897959184,347.45079348883235,2
700,100,2,0.5524489795918367,452.08430714121175,4
700,100,2,0.4283673469387755,478.9777054234136,3
700,100,2,0.6536734693877551,477.49852070358486,5
700,100,2,0.7095918367346938,481.0010460205266,3
700,100,2,0.6057142857142858,435.2558800164656,5
700,100,2,0.506938775510204,442.0426765808692,3
700,100,2,0.6285714285714286,483.8772003600252,6
700,100,2,0.5683673469387756,429.56349186104046,4
700,100,2,0.7230612244897959,436.2081528017131,5
700,100,2,0.5065306122448979,470.4335495461292,4
700,100,2,0.5259183673469388,438.770598642227,4
700,100,2,0.6179591836734694,424.3502884254441,6
700,100,2,0.663469387755102,478.27922061357856,6
700,100,2,0.7204081632653061,373.095454429505,4
700,100,2,0.6173469387755102,462.0782104868019,4
700,100,2,0.7024489795918367,460.350288425444,6
700,100,2,0.513061224489796,395.8355697996826,4
700,100,2,0.6161224489795918,472.3269478283311,7
700,100,2,0.4953061224489796,441.7645019878172,5
700,100,2,0.5995918367346939,449.6639969244288,5
700,100,2,0.6246938775510205,501.9005409571382,4
700,100,2,0.5402040816326531,425.634559672906,3
700,100,2,0.5157142857142857,342.5512985522207,3
700,100,2,0.4748979591836734,416.3563850798539,2
700,100,2,0.6128571428571429,405.4507934888324,3
700,100,2,0.463469387755102,440.14927829866735,4
700,100,2,0.6173469387755102,405.072113832392,3
700,100,2,0.6004081632653061,479.5990257669732,4
700,100,2,0.5487755102040817,496.214249456123,3
700,100,2,0.7048979591836735,419.7645019878172,6
700,100,2,0.5373469387755102,521.4985207035849,4
700,100,2,0.4932653061224489,428.14927829866735,1
700,100,2,0.4628571428571428,387.6639969244288,3
700,100,2,0.4385714285714285,450.2914139223983,1
700,100,2,0.4173469387755102,410.2914139223983,1
700,100,2,0.4736734693877551,446.634559672906,3
700,100,2,0.669795918367347,525.0609665440987,6
700,100,2,0.693265306122449,470.7350647362943,6
700,100,2,0.2873469387755102,319.0010460205266,2
700,100,2,0.4295918367346938,362.80003589374985,3
700,100,2,0.6761224489795918,457.9066376115481,7
700,100,2,0.5891836734693877,473.5929291125633,5
700,100,2,0.4777551020408163,405.3858223313768,3
700,100,2,0.5424489795918367,462.49242404917504,5
700,100,2,0.5448979591836735,557.8893936688451,5
700,100,2,0.6669387755102041,436.936074863071,6
700,100,2,0.5310204081632653,499.350288425444,5
700,100,2,0.5093877551020408,476.4274528917194,3
700,100,2,0.5393877551020408,480.2914139223983,4
700,100,2,0.716530612244898,484.5929291125633,6
700,100,2,0.6006122448979592,493.80003589374985,3
700,100,2,0.6926530612244898,476.2619766708754,7
700,100,2,0.4316326530612245,387.9360748630709,3
700,100,2,0.3677551020408163,338.38582233137674,2
700,100,2,0.6091836734693877,555.605122421383,4
700,100,2,0.5546938775510204,439.9482681718907,6
700,100,2,0.4628571428571428,429.3919189857866,3
700,100,2,0.4779591836734694,371.8355697996826,3
700,100,2,0.5063265306122449,534.8538597629123,4
700,100,2,0.386938775510204,467.4629867976521,3
700,100,2,0.4387755102040816,458.8061325481598,2
700,100,2,0.6344897959183673,346.27922061357856,5
700,100,2,0.6748979591836735,470.2558800164656,6
700,100,2,0.573469387755102,443.3919189857867,2
700,100,2,0.4708163265306122,465.3858223313768,2
700,100,2,0.5591836734693878,572.469083452062,4
700,100,2,0.4785714285714286,444.350288425444,3
700,100,2,0.5083673469387755,496.2975105768082,3
700,100,2,0.5648979591836735,480.04877323527904,3
700,100,2,0.7546938775510204,428.7645019878171,7
700,100,2,0.5016326530612245,427.46298679765215,5
700,100,2,0.6285714285714286,455.8772003600252,8
700,100,2,0.4010204081632653,439.0426765808691,2
700,100,2,0.6051020408163266,412.8355697996826,6
700,100,2,0.6051020408163266,473.6761902332486,6
700,100,2,0.6142857142857143,497.74116139070406,5
700,100,2,0.4630612244897959,464.52795795510775,1
700,100,2,0.3920408163265306,478.8061325481598,2
700,100,2,0.5689795918367347,527.0843071412118,4
700,100,2,0.6651020408163265,543.0548698896889,5
700,100,2,0.5138775510204082,478.32085117392114,6
700,100,2,0.7334693877551021,492.8772003600253,8
700,100,2,0.6475510204081633,463.9777054234136,7
700,100,2,0.5604081632653061,390.3086578651014,3
700,100,2,0.6985714285714286,390.2081528017131,7
700,100,2,0.5477551020408163,464.8122292025696,3
700,100,2,0.5359183673469388,462.77059864222696,4
700,100,2,0.43,460.0843071412117,4
700,100,2,0.4808163265306122,411.90054095713816,3
700,100,2,0.3373469387755102,360.75840533340727,3
700,100,2,0.4530612244897959,382.7167747730646,4
700,100,2,0.2222448979591836,360.373629022557,0
700,100,2,0.573469387755102,501.4863273947651,1
700,100,2,0.426734693877551,429.69343417595167,1
800,4,2,0.5558625,9478.28534805996,23
800,4,2,0.5565625,9866.392995798282,24
800,4,2,0.54779375,9792.695557008974,32
800,4,2,0.52766875,9893.68440972068,16
800,16,2,0.5941,2629.8023074035523,14
